Response Length, Response,Voice,Index
12,0.69,1.38,31
35,0.72,1.83,58
36,1.52,1.44,56
37,13.06,2.27,19
39,1.02,1.53,16
39,1.34,5.07,24
39,1.04,1.53,35
57,0.89,2.5,12
69,7.1,2.66,21
70,0.94,2.07,26
74,1.2,1.62,4
95,1.27,2.42,2
96,1.08,5.12,22
98,0.91,3.14,23
100,0.9,20.91,6
101,1.6,3.26,9
103,1.08,2.68,5
103,1.19,2.92,59
106,11.78,3.11,20
117,1.33,3.15,8
118,1.32,6.02,1
130,1.43,9.94,42
131,1.13,3.41,45
140,1.2,2.84,36
143,1.47,4.27,3
149,1.44,2.95,13
152,0.89,3.14,54
154,1.13,6.67,17
154,1.13,23.43,18
165,1.12,2.91,60
170,1.23,11.97,37
173,1.67,3.91,15
177,2.19,16.01,25
178,2.15,5.22,10
182,1.41,5.77,7
187,1.13,3.24,53
190,1.25,3.52,50
193,1.68,3.11,14
199,1.26,3.01,43
199,1.26,25.75,44
202,1.28,4.74,48
202,1.17,3.43,51
221,1.65,35.3,40
221,1.08,2.97,46
226,1.23,4.91,41
226,1.49,3.26,47
228,1.37,21.54,39
232,1.38,7.31,11
234,1.24,6.67,38
275,1.33,9,52
298,1.62,5.09,57
311,1.45,4.08,49
323,1.39,6.11,29
378,1.61,4.45,55
381,1.62,7.22,27
388,1.96,4.88,33
404,1.66,12.42,30
456,1.91,17.93,28
464,1.96,10.97,32
571,2.27,9.03,34
182.5166667,1.813666667,6.650166667,
