ActorGen Time,ClueGen Time,ContextGen Time,Total
16.891,0.000,0.000,0.000
22.008,7.010,8.846,37.865
18.551,0.000,0.000,0.000
32.598,6.612,14.145,53.356
0.000,0.000,0.000,0.000
16.513,3.950,4.715,25.178
26.818,7.670,10.335,44.823
26.696,7.730,11.208,45.634
27.122,4.268,12.833,44.223
22.065,5.920,7.624,35.609
0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000
17.617,4.704,8.430,30.750
18.303,8.473,8.503,35.279
27.057,7.670,7.668,42.396
18.105,0.000,0.000,0.000
24.722,0.000,0.000,0.000
24.954,10.518,7.961,43.432
19.919,6.492,6.572,32.983
0.000,0.000,0.000,0.000
17.532,6.404,8.218,32.155
23.965,5.516,9.761,39.241
33.493,8.135,17.762,59.390
17.282,6.933,9.323,33.539
37.231,5.028,7.942,50.202
21.291,10.205,8.115,39.611
21.641,0.000,0.000,0.000
20.812,8.598,11.816,41.227
22.917,7.309,6.857,37.083
23.598,13.285,14.490,51.373
19.437,8.070,8.930,36.437
16.913,8.914,6.275,32.101
13.710,6.871,7.607,28.189
27.437,6.434,9.283,43.155
11.590,0.000,0.000,0.000
23.339,5.359,9.097,37.795
18.529,4.790,6.181,29.501
33.180,6.249,9.333,48.761
